fold,model,wape,smape,mase,rmsse,bias
0,drift,0.296175,0.307713,1.174424,0.940042,-0.072925
0,moving_average,0.216625,0.208591,0.859800,0.726026,0.051560
0,naive,0.261617,0.252747,1.114026,0.903960,-0.019049
0,ridge_lags,0.261617,0.252747,1.114026,0.903960,-0.019049
0,seasonal_naive,1.381466,0.723072,3.656242,2.605695,0.941382
1,drift,0.319950,0.320982,1.172154,0.898106,-0.007048
1,moving_average,0.213764,0.205527,0.886674,0.732385,0.002182
1,naive,0.301253,0.275148,1.126315,0.875333,0.043033
1,ridge_lags,0.301253,0.275148,1.126315,0.875333,0.043033
1,seasonal_naive,1.152957,0.691453,3.296696,2.313823,0.731987
2,drift,0.227877,0.246284,0.817450,0.615042,-0.065367
2,moving_average,0.193374,0.182822,0.680008,0.527206,0.049138
2,naive,0.194435,0.195824,0.740027,0.560385,-0.009030
2,ridge_lags,0.313509,0.283819,1.142738,0.944970,0.068989
2,seasonal_naive,1.128121,0.677806,3.128546,2.157886,0.736515
3,drift,0.205745,0.217470,0.795983,0.638770,-0.063312
3,moving_average,0.197421,0.193135,0.804685,0.642948,-0.010044
3,naive,0.178174,0.174703,0.751550,0.621039,-0.014325
3,ridge_lags,0.218515,0.210654,0.836878,0.663032,-0.003512
3,seasonal_naive,0.970150,0.624692,2.904173,2.032067,0.612450
4,drift,0.272687,0.297848,1.000142,0.787109,-0.107642
4,moving_average,0.202492,0.197969,0.842346,0.692644,-0.028121
4,naive,0.240538,0.241097,0.943418,0.752858,-0.065420
4,ridge_lags,0.207919,0.204162,0.911636,0.742901,-0.046990
4,seasonal_naive,0.921149,0.623592,2.955113,2.077668,0.509788
5,drift,0.277069,0.248203,1.136338,0.996843,0.001623
5,moving_average,0.209568,0.197124,0.977402,0.918459,0.000857
5,naive,0.271494,0.234865,1.125977,0.990247,0.036917
5,ridge_lags,0.200475,0.197927,0.976790,0.886482,-0.033099
5,seasonal_naive,0.799748,0.576387,2.851487,2.093127,0.416615
6,drift,0.247048,0.249293,1.250865,0.844333,-0.055855
6,moving_average,0.203631,0.198362,0.919972,0.651776,0.028699
6,naive,0.223224,0.213076,1.179160,0.804379,-0.017718
6,ridge_lags,0.234947,0.217943,1.059742,0.785104,0.062625
6,seasonal_naive,0.778728,0.527984,2.392494,1.649144,0.446069
7,drift,0.276273,0.265729,1.065992,0.811039,0.018708
7,moving_average,0.222090,0.213285,0.951468,0.734634,0.015976
7,naive,0.257859,0.233787,1.015527,0.779864,0.052725
7,ridge_lags,0.274508,0.252760,1.273974,0.976684,0.048061
7,seasonal_naive,0.748558,0.518818,2.382843,1.677323,0.423621
8,drift,0.303607,0.300188,1.609430,1.224301,-0.056339
8,moving_average,0.202796,0.201025,1.150936,0.984633,-0.023767
8,naive,0.287630,0.275356,1.577814,1.213644,-0.019191
8,ridge_lags,0.230328,0.225770,1.221133,1.000814,-0.012942
8,seasonal_naive,0.642652,0.513702,2.493642,1.828285,0.251119
9,drift,0.298438,0.274139,1.510312,1.078168,0.042302
9,moving_average,0.206407,0.197638,0.976809,0.741706,0.054526
9,naive,0.270661,0.240494,1.450980,1.050725,0.080549
9,ridge_lags,0.213605,0.207127,1.039863,0.762819,0.036536
9,seasonal_naive,0.555859,0.450622,2.065648,1.458879,0.218886
10,drift,0.219043,0.225247,0.953310,0.711288,-0.053308
10,moving_average,0.221528,0.209617,0.976771,0.713948,0.057090
10,naive,0.186208,0.182380,0.887554,0.676707,-0.014674
10,ridge_lags,0.232080,0.214470,1.083544,0.818840,0.077619
10,seasonal_naive,0.536005,0.440034,1.990882,1.406357,0.197897
11,drift,0.227846,0.218317,0.921424,0.712536,0.042659
11,moving_average,0.194665,0.186961,0.829785,0.649639,0.037383
11,naive,0.225490,0.210562,0.918493,0.720033,0.078662
11,ridge_lags,0.189431,0.183937,0.794523,0.599815,0.056185
11,seasonal_naive,0.437551,0.391986,1.730000,1.233360,0.116044
12,drift,0.275801,0.278379,1.214908,0.898900,-0.082151
12,moving_average,0.207018,0.204220,0.930643,0.714992,-0.017119
12,naive,0.244379,0.233341,1.164338,0.875684,-0.047392
12,ridge_lags,0.187158,0.186725,0.835460,0.633508,0.016807
12,seasonal_naive,0.423484,0.398036,1.939818,1.414286,0.057971
